,Unnamed: 0,tokens,full_name,dof,year,month,date,hour,sentiment,text,h_score,label,emoji
47,47,"['loving', 'this', 'current', 'wave', 'agonism']","Sydney, New South Wales",3,2022,2,10,5,0.2857142857142857,@carolduncan Loving this current wave of agonism,5.82,achievement,💯
48,48,"['reverse', '100', 'time']","New South Wales, Australia",3,2022,2,10,3,0.0,@BattlinGolfer Reverse 100% of time,5.92,achievement,💯
50,50,['inshallah'],"Melbourne, Victoria",3,2022,2,10,13,0.0,@BeanymanSports Inshallah,5.92,achievement,💯
52,52,"['was', 'nice', 'branding', 'exercise', 'for', 'the', 'moderates', 'that', 'about', 'all', 'achieved']","Melbourne, Victoria",3,2022,2,10,9,0.2,@RichardYabsley It was a nice branding exercise for the moderates. That's about all it achieved.,5.839999999999999,achievement,💯
54,54,"['thanks', 'mate', 'just', 'lil', 'glitch']","Perth, Western Australia",3,2022,2,10,9,0.25,"@Thewickedhunt Thanks mate, just a lil glitch 🙏🏽",5.786666666666666,achievement,💯
58,58,"['the', 'only', 'thing', 'one', 'needs', 'know', 'about', 'commitment', 'media', 'freedom', 'that', 'still', 'belmash', 'doubt', 'soon', 'extradited', 'with', 'terrorists', 'for', 'practicing', 'actual', 'journalism']","Victoria, Australia",3,2022,2,10,8,0.0,"@MarisePayne @MediaFreedomC The only thing one needs to know about @MarisePayne's ""commitment"" to ""media freedom"" is that Julian Assange is STILL in HMP Belmash, no doubt soon to be extradited to ADX Florence with terrorists for practicing ACTUAL journalism.",5.717333333333333,achievement,💯
59,59,"['not', 'going', 'find', 'but', 'there', 'was', 'tiktok', 'that', 'explained', 'that', 'the', 'last', 'person', 'legitimately', 'won', 'the', 'dark', 'saber', 'combat', 'because', 'after', 'that', 'the', 'chain', 'was', 'broken', 'was', 'the', 'legit', 'ruler', 'mandalore']","Brisbane, Queensland",3,2022,2,10,0,0.0222222222222222,"@RhyWil @Willbo__ I'm not going to go find it but there was a TikTok that explained that the last person to legitimately won the dark saber in combat (because after that the chain was broken) was Obi-wan

So Obi-Wan is the legit ruler of Mandalore",5.7,achievement,💯
60,60,"['she', 'made', 'the', 'claim', 'she', 'needs', 'name', 'names', 'let', 'the', 'investigation', 'run']","Queensland, Australia",3,2022,2,10,7,0.0,@deep_tez She made the claim. She needs to name names. Let the investigation run!,5.84,achievement,💯
62,62,"['mornin', 'champ']","Suffolk Park, New South Wales",3,2022,2,10,19,0.0,@tomnoske_ Mornin champ,5.92,achievement,💯
63,63,"['good', 'morning']","Perth, Western Australia",3,2022,2,10,8,0.75,@tomnoske_ Good Morning Tom,5.92,achievement,💯
64,64,"['such', 'awesome', 'shot', 'remember', 'watching', 'this', 'video', 'yours']","Sydney, New South Wales",3,2022,2,10,1,0.2666666666666666,@tomnoske_ Gm Tom. Such an awesome shot. I remember watching this YouTube video of yours.,5.546666666666667,achievement,💯
66,66,"['welcome', 'the', 'dark', 'side', 'the', 'force']","Nambour, Queensland",3,2022,2,10,6,0.1428571428571428,@MarkHoltze Welcome to the dark side of the force Mark https://t.co/vX4Sht6pQ7,5.92,leisure,🏄
68,68,"['wordle', '236', 'and', 'mine']","Alice Springs, Northern Territory",3,2022,2,10,1,0.0,"@JoMcDonald12 @PaulineGrierso1 Wordle 236 4/6

🟨⬜⬜⬜🟩
🟨🟨🟨⬜🟩
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩

And mine!",5.92,achievement,💯
69,69,"['this', 'one', 'also', 'not', 'legit']","Melbourne, Victoria",3,2022,2,10,2,0.0,@osnapitzmaymay @MikeOlbinski @MikeOlbinski is this one also not legit?,5.92,achievement,💯
76,76,"['you', 'workin', 'nine', 'five']","Sydney, New South Wales",3,2022,2,10,5,0.0,@AmyRemeikis @Sue0606 You'll be workin nine to five,5.552,achievement,💯
86,86,"['support', 'the', 'australian', 'athiest', 'association']","Braidwood, New South Wales",3,2022,2,10,4,0.2857142857142857,@MrDenmore @Olfella56 Support the Australian Athiest Association,5.786666666666668,achievement,💯
90,90,"['too', 'sure', 'there', 'were', 'few', 'moments', 'that', 'were', 'worrisome', 'but', 'the', 'team', 'there']","Gold Coast, Queensland",3,2022,2,10,0,0.0,"@DaleHof17168004 @PRGuy17 @AlboMP Me too, sure there were a few moments that were worrisome but the team go there.",5.653333333333333,achievement,💯
92,92,"['you', 'the', 'reason', 'why', 'the', 'girls', 'don', 'like', 'other', 'fanbases', 'should', 'stop', 'putting', 'their', 'noses', 'our', 'business']","Victoria, Australia",3,2022,2,10,0,0.0454545454545454,@darkyonce92_ @Latto You’re the reason why the girls don’t like Nicki …… other fanbases should stop putting their noses in our business,5.513333333333333,achievement,💯
94,94,"['hope', 'dies', 'there']","Sydney, New South Wales",3,2022,2,10,1,0.2222222222222222,@Senator_Patrick @wayout1 @ScottMorrisonMP Hope it dies there 😠😡👎🏿👎🏽👎🏻,5.92,achievement,💯
99,99,"['thought', 'only', 'liked', 'doing', 'this']","Sydney, New South Wales",3,2022,2,10,1,0.3333333333333333,@LiAleExperience I thought only I liked doing this 😈,5.552,affection,💕
100,100,"['this', 'true', 'interesting', 'perspective']","Brisbane, Queensland",3,2022,2,10,0,0.6666666666666666,@bengreenfuz This is true. Interesting perspective!,5.840000000000001,achievement,💯
101,101,"['wait', 'gurl']","Sydney, New South Wales",3,2022,2,10,2,0.0,"@heidisapirate wait, ur a gurl?!",5.72,achievement,💯
108,108,"['alright', 'alright']","Sydney, New South Wales",3,2022,2,10,2,0.1428571428571428,"@AlanGolotto @dan_huddy @rosehillgardens 😂 alright, alright",5.92,affection,💕
112,112,"['wasn', 'expecting', 'this', 'pop', 'off', 'like', 'did', 'thanks', 'for', 'the', 'love', 'fam']","Gold Coast, Queensland",3,2022,2,10,20,0.4375,Wasn't expecting this to pop off like it did 🤣 thanks for the love fam 💖💖💖,5.92,achievement,💯
118,118,"['which', 'proves', 'this', 'pure', 'political', 'theatre', 'and', 'the', 'supposed', 'moderates', 'aren', 'really', 'supporting', 'trans', 'rights']","Victoria, Australia",3,2022,2,10,0,0.1052631578947368,@elchsa @byetofi @AdamBandt Which proves this is pure political theatre and the supposed moderates aren't really supporting trans rights.,5.656000000000001,achievement,💯
120,120,"['did', 'you', 'read', 'his', 'first', 'tweet']","Victoria, Australia",3,2022,2,10,1,0.0,@lynchmob080 @jha444 @AdamBandt Did you read his first tweet??,5.552,enjoy_the_moment,🍾️
122,122,"['not', 'labor', 'crossbench', 'labor', 'have', 'not', 'been', 'progressive', 'left', 'wing', 'for', 'long', 'time', 'being', 'better', 'than', 'hardly', 'something', 'cheer', 'about', 'greens', 'are', 'there', 'fighting', 'for', 'the', 'rights', 'all', 'minorities', 'and', 'not', 'interested', 'labor', 'apologists']","Victoria, Australia",3,2022,2,10,2,0.0,"@SuxHypocrisy @TownsvilleTom @AdamBandt Not by Labor. Crossbench. 
Labor have not been progressive left wing for a long time. 

Being better than Morrison is hardly something to cheer about.

Greens are there fighting for the rights of all minorities and I'm not interested in Labor apologists.",5.7973333333333334,achievement,💯
126,126,"['before', 'preseason', 'sitting', 'like', 'this', 'macrae', 'steele', 'oliver', 'walsh', 'mccluggage', 'cogs', 'newcombe', 'horne', 'francis']","Sydney, New South Wales",3,2022,2,10,3,0.1333333333333333,"@JesseDCaldera Before preseason I'm sitting like this:
Macrae, Steele, Oliver, Walsh
McCluggage
Cogs
Newcombe
Horne-Francis",5.862857142857144,achievement,💯
127,127,"['before', 'preseason', 'sitting', 'like', 'this', 'macrae', 'steele', 'oliver', 'walsh', 'mccluggage', 'cogs', 'newcombe', 'horne', 'francis', 'gresh', 'brodie']","Sydney, New South Wales",3,2022,2,10,3,0.1052631578947368,"@JesseDCaldera Before preseason I'm sitting like this:
Macrae, Steele, Oliver, Walsh
McCluggage
Cogs
Newcombe
Horne-Francis

Gresh F2
Brodie F6",5.870000000000001,achievement,💯
135,135,['seething'],"Rome, Lazio",3,2022,2,10,8,0.0,@BackroomBazz Seething,5.92,achievement,💯
145,145,"['think', 'you', 'did', 'speak', 'soon', 'and', 'good', 'you', 'acknowledge', 'the', 'nuance', 'politics', 'somewhat', 'difficult', 'follow', 'seems']","Sydney, New South Wales",3,2022,2,10,1,0.064516129032258,"@gjfitzgerald @edwardatport @IanHartley_ I think you did speak to soon and good of you to acknowledge it. The nuance of politics is a somewhat difficult to follow, it seems to me.",5.546666666666667,achievement,💯
146,146,['sure'],"Sydney, New South Wales",3,2022,2,10,1,0.0,@gjfitzgerald @edwardatport @IanHartley_ Sure is.,5.52,achievement,💯
147,147,"['dreadful', 'legislation', 'and', 'they', 'given', 'their', 'stamp', 'approval', 'their', 'support', 'they', 'only', 'have', 'the', 'numbers', 'with', 'the', 'greens', 'and', 'one', 'independant', 'voting', 'would', 'have', 'seen', 'unpalatable', 'piece', 'legislation', 'presented', 'the', 'senate', 'making', 'even', 'easier', 'get', 'rid']","Adelaide, South Australia",3,2022,2,10,10,0.0,"@IanHartley_ @Bf99Floyd It's dreadful legislation. And they've  given it their stamp of approval. Their support.
They only have the numbers with the Greens and one independant.
Voting no would have seen an unpalatable piece of legislation presented to the senate making it even easier to get rid of.",5.632727272727274,achievement,💯
154,154,"['xenoblade', 'chronicles']","Sunbury, Victoria",3,2022,2,10,6,0.0,@JackDaWiles @EBGamesAus Xenoblade chronicles 3,5.92,achievement,💯
155,155,"['forme', 'high', 'school', 'teacher', 'and', 'principal', 'for', 'years', 'heartiest', 'congratulations', 'your', 'decision', 'challenging', 'job', 'and', 'times', 'you', 'wonder', 'why', 'but', 'also', 'incredibly', 'rewarding', 'and', 'fulfilling', 'job', 'where', 'you', 'make', 'huge', 'influence', 'young', 'lives', 'well']","Bundaberg, Queensland",3,2022,2,10,9,0.0980392156862745,"@finbaromallon As a forme eg high school teacher and Principal for 40 years, heartiest of congratulations on your decision. It is a challenging job and at times, you'll wonder why, but it is also an incredibly rewarding and fulfilling job where you make a huge influence on young lives. Go well!",5.4925,achievement,💯
159,159,"['looking', 'fantastic']","Melbourne, Victoria",3,2022,2,10,10,0.8,@minato_z09 Looking fantastic ❤️❤️❤️❤️❤️❤️,5.92,achievement,💯
160,160,"['bravo', 'komentar', 'pametnjakovicu', 'srbijo']","Sydney, New South Wales",3,2022,2,10,2,0.0,@BratislavZurek @AbraxasSerbia @Bojana81366930 Ma bravo za komentar pametnjakovicu. Ee Srbijo,5.786666666666666,achievement,💯
168,168,"['where', 'grew', 'was', 'similar', 'but', 'also', 'amazed', 'the', 'number', 'people', 'grew', 'with', 'who', 'went', 'flocking', 'back', 'the', 'church', 'with', 'kids', 'tow', 'their', '30s']","Canberra, Australian Capital Territory",3,2022,2,10,0,0.0588235294117647,"@DavidSligar Where I grew up was similar, but I'm also amazed at the number of people I grew up with who went flocking back to the church, with kids in tow, in their 30s.",5.8,achievement,💯
169,169,"['pls', 'don', 'accuse', 'being', 'this', 'would', 'imply', 'she', 'has', 'read', 'book']","Brisbane, Queensland",3,2022,2,10,14,0.1176470588235294,@AOC @3CallFinagle Pls don't accuse Marjorie of being  Nazi . This would imply she has read a book.,5.546666666666667,achievement,💯
170,170,"['cont', 'anyone', 'who', 'lives', 'nearby', 'looks', 'like', 'magic', 'carpet', 'and', 'stay', 'dune', 'regeneration', 'area', 'get', 'lil', 'iridescent', 'gems', 'flashing', 'amongst', 'brown', 'dried', 'out', 'plants', 'agen', 'magic', 'folks', 'miss', 'free', 'nature', 'shows', 'just', 'walk', 'past', 'levable']","Gold Coast, Queensland",3,2022,2,10,7,0.025,"@de_uql Cont:anyone who lives nearby.Looks like a magic carpet.And ♂️s stay in dune regeneration area,so u get lil'iridescent gems flashing in amongst brown dried out plants(?)Agen-MAGIC🤩Folks miss free nature shows-just walk past-un.b.levable🌟💎",5.591111111111111,achievement,💯
173,173,"['ratio', 'under', '10s', 'has', 'increased', 'alongside', 'nsw', 'school', 'return', 'highest', 'under', '20s', 'rise']","Sydney, New South Wales",3,2022,2,10,5,0.0952380952380952,"@discoball2000 @VictorianCHO Ratio of under 10s has increased alongside NSW school return, highest of under 20s rise. https://t.co/0k5su5i24P",5.77,achievement,💯
174,174,['similar'],"Sydney, New South Wales",3,2022,2,10,6,0.0,@discoball2000 @VictorianCHO Similar https://t.co/8oIw9zXZu0,5.92,achievement,💯
175,175,"['tweet', 'links', 'when', 'have', 'them']","Melbourne, Victoria",3,2022,2,10,7,0.0,@mattgillard I’ll tweet links when I have them!,5.92,achievement,💯
176,176,"['sounds', 'like', 'some', 'teenagers', 'homework']","South Australia, Australia",3,2022,2,10,1,0.2857142857142857,@stationmum101 @RayMondeDeux Sounds like some teenagers homework.,5.72,achievement,💯
182,182,"['agree', '100', 'heroine']","Perth, Western Australia",3,2022,2,10,14,0.1111111111111111,"@Charlotte2017 Agree 100%. My heroine.
https://t.co/Tuh8656mP3",5.92,enjoy_the_moment,🍾️
183,183,"['the', 'acl', 'has', 'now', 'pulled', 'their', 'support', 'for', 'this', 'bill', 'this', 'speaks', 'volumes', 'for', 'what', 'their', 'true', 'agenda', 'was', 'they', 'now', 'should', 'crawl', 'back', 'under', 'the', 'rock', 'they', 'came', 'from']","Sydney, New South Wales",3,2022,2,10,1,0.1212121212121212,"@colonelhogans @ScottMorrisonMP @AlboMP The ACL has now pulled their support for this bill, this speaks volumes for what their true agenda was.
They now should crawl back under the rock they came from!",5.5138461538461545,achievement,💯
187,187,"['stunner', 'mate', 'same', 'spot', 'but', 'seems', 'like', 'the', 'waterfall', 'was', 'bit', 'more', 'enthusiastic', 'when', 'you', 'were', 'there']","Melbourne, Victoria",3,2022,2,10,2,0.28,@iam_chrisduggan Stunner mate! Same spot 😜 but seems like the waterfall was a bit more enthusiastic when you were there! https://t.co/MdcXVJWsQL,5.582222222222222,achievement,💯
191,191,"['indeed', 'has', 'humble', 'and', 'calm', 'nature', 'and', 'happy', 'take', 'fuming', 'questions', 'and', 'still', 'answer', 'with', 'great', 'calmness', 'one', 'the', 'best', 'qualities', 'any', 'person', 'can', 'cherish', 'forever', 'believe']","Sydney, New South Wales",3,2022,2,10,0,0.3888888888888889,"@gilly381 @patcummins30 He indeed has a humble and calm nature and he is happy to take fuming questions and still answer with great calmness, one of the best qualities any person can cherish forever I believe",5.615000000000001,achievement,💯
192,192,"['your', 'opinion', 'who', 'works', 'for', 'whom', 'australian', 'captains', 'australian', 'coaches']","Melbourne, Victoria",3,2022,2,10,3,0.0,"@gilly381 @patcummins30 In your opinion, Gilly, who works for whom, Australian captains, Australian coaches?",5.626666666666667,achievement,💯
198,198,"['policymakers', 'whether', 'intentionally', 'neglect', 'decided', 'housing', 'more', 'politically', 'expedient', 'being', 'treated', 'asset', 'with', 'rising', 'capital', 'values', 'cheered', 'and', 'consequence', 'affordability', 'has', 'suffered', 'fhb', 'grants', 'popular', 'stop', 'gap', 'that', 'really', 'slap', 'the', 'face']","Melbourne, Victoria",3,2022,2,10,0,0.0625,"@TMFScottP @elyobo @forager_gareth Policymakers, whether intentionally or by neglect, decided housing is more politically expedient being treated as an asset with rising capital  values to be cheered. And as a consequence affordability has suffered, FHB grants a popular stop gap, that’s really a slap in the face",5.5520000000000005,achievement,💯
201,201,"['amp', 'both', 'amazing', 'communities', 'with', 'great', 'long', 'term', 'focus']","Brisbane, Queensland",3,2022,2,10,21,0.3888888888888889,@tommychong @ThoseAMAs &amp; @ada_apocalypse - Both amazing communities with great long term focus https://t.co/Fth5cFxQlJ,5.786666666666666,achievement,💯
202,202,"['definitely', 'check', 'out', 'their', 'artwork', 'and', 'their', 'community', 'much', 'better', 'than', 'your', 'typical', 'bot', 'spam', 'joining', 'just', 'make', 'invite', 'requirements']","Brisbane, Queensland",3,2022,2,10,13,0.032258064516129,@tommychong Definitely @BoredApeTeen !! Check out their artwork! And their community is so much better than your typical bot/spam joining just to make up invite WL requirements! @RademachMark #BATC @TrxboyMAKCBATC @sighclogs,5.531428571428572,affection,💕
205,205,"['people', 'are', 'longing', 'have', 'something', 'trust', 'print', 'actually', 'can', 'help', 'with', 'that', 'local', 'publishers', 'use', 'print', 'create', 'physical', 'connection', 'with', 'people', 'jonathan', 'heawood']","Murray Bridge, South Australia",3,2022,2,10,0,0.0714285714285714,"""People are longing to have something to trust ... Print actually can help with that. Local publishers use print to create a physical connection with people."" -Jonathan Heawood #WalkleysRegional",5.621333333333334,affection,💕
207,207,"['survey', 'found', 'people', 'would', 'willing', 'support', 'new', 'local', 'online', 'news', 'outlet', 'their', 'area', 'present', 'are', 'paying', 'this', 'exciting']","Murray Bridge, South Australia",3,2022,2,10,1,0.1612903225806451,"In a survey, @simoncrerar found 29% of people would be willing to support a new local online news outlet in their area. At present, 14% are paying. ""This is exciting."" #WalkleysRegional",5.594666666666668,achievement,💯
209,209,"['people', 'are', 'saying', 'hang', 'digital', 'not', 'how', 'want', 'access', 'news', 'that', 'being', 'increasingly', 'reflected', 'international', 'media', 'the', 'passion', 'for', 'print']","Murray Bridge, South Australia",3,2022,2,10,1,0.0689655172413793,"""People are saying 'hang on, (digital) is not how I want to access my news'. That's being increasingly reflected in international media: the passion for print."" -Kristy Hess #WalkleysRegional",5.698461538461539,achievement,💯
210,210,"['the', 'main', 'function', 'local', 'paper', 'local', 'people', 'serves', 'local', 'hub', 'connects', 'them', 'local', 'people', 'and', 'gives', 'them', 'that', 'sense', 'place']","Murray Bridge, South Australia",3,2022,2,10,3,0.0,"""The main function of a local paper to local people is it serves as a local hub, connects them to local people and gives them that sense of place."" -Kristy Hess #WalkleysRegional",5.76,achievement,💯
211,211,"['often', 'use', 'phrases', 'like', 'great', 'stepping', 'stone', 'but', 'also', 'think', 'need', 'celebrate', 'regional', 'journalism', 'careers', 'wonderful', 'fulfilling', 'exciting', 'careers']","Murray Bridge, South Australia",3,2022,2,10,3,0.5172413793103449,"""We often use phrases like 'it's a great stepping stone' ... but I also think we need to celebrate regional journalism careers as wonderful, fulfilling, exciting careers."" -Krist Hess #WalkleysRegional",5.777142857142857,affection,💕
212,212,"['often', 'use', 'phrases', 'like', 'great', 'stepping', 'stone', 'but', 'also', 'think', 'need', 'celebrate', 'regional', 'journalism', 'careers', 'wonderful', 'fulfilling', 'exciting', 'careers']","Murray Bridge, South Australia",3,2022,2,10,3,0.5172413793103449,"""We often use phrases like 'it's a great stepping stone' ... but I also think we need to celebrate regional journalism careers as wonderful, fulfilling, exciting careers."" -Kristy Hess #WalkleysRegional",5.777142857142857,affection,💕
213,213,"['meta', 'says', 'there', 'were', 'applications', 'the', 'recent', 'about', 'half', 'the', 'funding', 'will', 'regional', 'outlets', 'announcement', 'come', 'march']","Murray Bridge, South Australia",3,2022,2,10,3,0.032258064516129,Facebook/Meta's @Huntzie says there were 95 applications to the recent Public Interest Journalism Fund. About half of the funding will go to regional outlets. Announcement to come in March. #WalkleysRegional,5.616,achievement,💯
214,214,"['inevitably', 'going', 'see', 'some', 'rationalisation', 'newspaper', 'titles', 'without', 'some', 'sort', 'government', 'support', 'there', 'has']","Murray Bridge, South Australia",3,2022,2,10,3,0.0909090909090909,"""Inevitably we're going to see some rationalisation of (newspaper) titles ... Without some sort of (government) support, there has to be."" -@RoderickQuinn #WalkleysRegional",5.716363636363638,achievement,💯
217,217,"['talks', 'about', 'setting', 'newswire', 'which', 'would', 'cover', 'local', 'governments', 'around', 'funded', 'councils', 'the', 'public', 'interest', 'news', 'service', 'which', 'says', 'interesting', 'but', 'ambitious']","Murray Bridge, South Australia",3,2022,2,10,5,0.1612903225806451,"Tony Gillies talks about setting up a newswire which would cover local governments around Australia, funded by councils: the Public Interest News Service. Which is, as @Truthtypist says, interesting but ambitious.",5.69904761904762,achievement,💯
219,219,"['this', 'has', 'been', 'another', 'episode', 'peri', 'spams', 'your', 'timeline', 'with', 'niche', 'things', 'that', 'probably', 'aren', 'interesting', 'you', 'but', 'this', 'the', 'stuff', 'passionate', 'about', 'bad', 'luck']","Murray Bridge, South Australia",3,2022,2,10,5,0.1176470588235294,This has been another episode of Peri Spams Your Timeline with Niche Things that Probably Aren't Interesting to 95% of You But This is the Stuff He's Passionate About So Bad Luck. #WalkleysRegional #OverAndOut,5.6,enjoy_the_moment,🍾️
220,220,"['they', 'already', 'have', 'protection', 'from', 'vilification', 'and', 'discrimination', 'the', 'religious', 'discrimination', 'wasn', 'needed', 'all']","Brisbane, Queensland",3,2022,2,10,6,0.0,@sallyrugg They already have protection from vilification and discrimination. The religious discrimination wasn't needed at all.,5.7377777777777785,achievement,💯
223,223,"['for', 'sure', 'was', 'being', 'general', 'not', 'sure', 'locking', 'people', 'the', 'answer', 'tho']","Melbourne, Victoria",3,2022,2,10,1,0.0,@NigelBell19 Oh for sure. I was being general. Not sure locking people up is the answer tho!,5.720000000000001,achievement,💯
224,224,"['just', 'like', 'his', 'dad']","Townsville, Queensland",3,2022,2,10,1,0.2222222222222222,@toddthepainter Just like his Dad… https://t.co/jWtuu8vB0R,5.786666666666666,achievement,💯
226,226,"['this', 'manual', 'kick', 'scooter', 'not', 'the', 'escooter']","Melbourne, Victoria",3,2022,2,10,5,0.0,@c_leews This is a manual kick scooter not the escooter :),5.786666666666666,achievement,💯
227,227,"['get', 'one', 'just', 'picked', 'this', 'from', 'rebel', 'sport', 'for', '150', 'hard', 'work', 'the', 'legs', 'tho', 'lol']","Melbourne, Victoria",3,2022,2,10,10,0.0,@liam0s_au Get one! Just picked this up from rebel sport for 150. Hard work on the legs tho lol,5.786666666666666,achievement,💯
228,228,"['one', 'stumble', 'takeover']","Sydney, New South Wales",3,2022,2,10,8,0.0,@BakesView One stumble - takeover,5.52,achievement,💯
230,230,"['this', 'whole', 'debate', 'started', '2017', 'when', 'legalised', 'same', 'sex', 'marriage']","Melbourne, Victoria",3,2022,2,10,4,0.0,"@abcnews This whole debate started in 2017, when Australia legalised same-sex marriage.",5.919999999999999,achievement,💯
231,231,"['jest', 'taka', 'mozliwosc', 'drugiej', 'jednak', 'strony', 'duza', 'czesc', 'ludzi', 'zostala', 'ostrzezona', 'nastepnym', 'razem', 'duzo', 'trudniej', 'bedzie', 'taka', 'skale', 'uruchomic', 'wielu', 'nie', 'uwierzy', 'ludzie', 'nie', 'beda', 'tez', 'sie', 'tak', 'bali', 'takze', 'jesli', 'proba', 'stracono', 'element', 'zaskoczenia']","Sydney, New South Wales",3,2022,2,10,2,0.0,"@KarolPrillwitz Jest taka mozliwosc, z drugiej jednak strony duza czesc ludzi zostala ostrzezona. Nastepnym razem duzo trudniej bedzie na taka skale to uruchomic. Wielu nie uwierzy, ludzie nie beda tez sie tak bali. Takze jesli to proba, to stracono element zaskoczenia",5.622857142857141,achievement,💯
234,234,"['guess', 'trying', 'build', 'bridge', 'between', 'the', 'pragmatists', 'peninsula', 'and', 'reformist', 'rock']","Melbourne, Victoria",3,2022,2,10,2,0.0,@phillipdawson @profbmac Guess I'm trying to build a bridge between the pragmatists peninsula and reformist rock!,5.656000000000001,leisure,🏄
