"term","pleasure","arousal","dominance"
"black",61.111111,52.267574,58.276644
"blackmail",33.446712,68.367347,40.136054
"bland",46.485261,37.301587,55.328798
"blase",55.442177,44.671202,51.814059
"blasphemy",42.517007,55.895692,53.854875
"bless",81.519274,45.918367,62.585034
"blind",34.580499,49.773243,37.188209
"bliss",78.798186,50,69.387755
"blister",32.653061,46.485261,45.124717
"blond",72.902494,57.482993,65.079365
"bloody",32.879819,72.675737,44.897959
"blossom",82.312925,57.029478,62.698413
"blubber",39.909297,51.814059,43.764172
"blue",76.643991,48.866213,63.8322
"board",54.648526,38.095238,56.462585
"body",62.92517,62.585034,60.544218
"bold",77.097506,63.492063,75.623583
"bomb",23.809524,81.06576,51.473923
"book",64.852608,47.278912,60.090703
"bored",33.446712,32.086168,46.598639
"bottle",69.727891,54.30839,54.195011
"bouquet",79.591837,61.904762,69.727891
"bowl",60.430839,39.342404,53.174603
"boxer",62.471655,58.049887,57.823129
"boy",71.655329,51.927438,60.544218
"brave",81.06576,69.727891,81.85941
"breast",73.696145,60.884354,61.111111
"breeze",77.664399,49.546485,62.811791
"bride",83.219955,62.92517,65.079365
"bright",85.034014,61.22449,71.882086
"broken",34.580499,61.564626,46.938776
"brother",80.612245,53.401361,58.049887
"brutal",31.746032,74.829932,52.040816
"building",59.977324,44.444444,59.52381
"bullet",37.301587,60.430839,44.217687
"bunny",82.086168,46.031746,56.349206
"burdened",28.344671,63.8322,57.029478
"burial",23.24263,57.596372,40.249433
"burn",30.952381,70.521542,47.845805
"bus",51.133787,40.249433,54.875283
"busybody",58.61678,54.875283,61.791383
"butter",60.430839,35.941043,52.947846
"butterfly",81.292517,39.342404,52.721088
"cabinet",57.256236,38.888889,53.628118
"cake",82.312925,56.689342,58.503401
"cancer",17.006803,72.789116,38.77551
"candy",74.14966,51.927438,60.430839
"cane",45.351474,47.619048,48.412698
"cannon",55.555556,53.401361,58.61678
"capable",81.179138,57.596372,73.356009
"car",87.641723,70.748299,79.138322
"carcass",37.868481,54.761905,55.555556
"carefree",85.487528,47.278912,65.53288
"caress",88.888889,58.276644,66.099773
"cash",94.897959,83.560091,78.911565
"casino",77.210884,73.809524,58.049887
"cat",64.852608,49.659864,69.84127
"cell",43.310658,46.258503,46.712018
"cellar",48.979592,49.773243,52.834467
"cemetery",29.818594,54.648526,48.412698
"chair",57.596372,35.714286,51.70068
"champ",81.405896,68.027211,76.75737
"champion",95.69161,66.326531,73.696145
"chance",68.253968,60.997732,52.60771
"chaos",47.278912,75.623583,43.764172
"charm",76.75737,58.503401,63.151927
"cheer",91.836735,69.387755,68.027211
"child",80.272109,62.92517,57.823129
"chin",59.977324,37.528345,59.637188
"chocolate",78.004535,59.977324,58.730159
"christmas",88.435374,71.088435,60.884354
"church",71.201814,49.206349,56.689342
"circle",64.285714,43.764172,57.029478
"circus",82.76644,67.687075,61.111111
"city",68.367347,59.410431,65.079365
"cliff",52.947846,70.861678,49.319728
"clock",58.276644,45.578231,52.947846
"clothing",74.14966,54.195011,60.430839
"clouds",70.068027,37.414966,59.183673
"clumsy",45.351474,58.730159,43.764172
"coarse",51.587302,47.732426,56.689342
"coast",67.800454,52.040816,64.285714
"cockroach",31.85941,69.274376,53.741497
"coffin",29.024943,57.029478,46.258503
"coin",68.253968,48.639456,64.172336
"cold",45.578231,58.843537,53.174603
"color",79.591837,53.628118,69.954649
"column",58.61678,41.043084,54.535147
"comedy",94.897959,66.326531,61.678005
"comfort",80.15873,44.557823,64.62585
"computer",70.748299,53.854875,59.977324
"concentrate",58.956916,52.721088,56.349206
"confident",90.47619,70.521542,87.07483
"confused",36.394558,68.367347,48.072562
"consoled",65.53288,51.360544,50.340136
"contempt",43.650794,59.863946,58.163265
"contents",55.442177,48.979592,54.988662
"context",58.956916,47.845805,58.61678
"controlling",43.0839,69.160998,58.61678
"cook",69.84127,50.340136,58.276644
"cord",57.823129,40.136054,56.689342
"cork",59.183673,43.0839,56.462585
"corner",49.433107,44.331066,46.712018
"corpse",24.716553,53.741497,40.702948
"corridor",55.328798,41.156463,56.689342
"corrupt",37.641723,52.947846,52.60771
"cottage",73.129252,38.435374,61.111111
"couple",84.013605,72.44898,68.253968
"cow",63.151927,39.569161,60.31746
"coward",31.06576,46.145125,32.086168
"cozy",83.786848,37.641723,55.442177
"crash",26.190476,78.798186,39.002268
"crime",32.76644,61.337868,46.712018
"criminal",33.219955,54.30839,37.868481
"crisis",31.06576,61.678005,40.816327
"crown",74.603175,48.526077,68.707483
"crucify",25.283447,73.356009,42.403628
"crude",35.37415,57.482993,48.412698
"cruel",22.335601,64.399093,48.072562
"crushed",25.056689,62.585034,38.095238
"crutch",38.888889,46.938776,44.331066
"cuddle",87.528345,49.886621,66.326531
"cuisine",75.283447,49.773243,61.337868
"curious",68.93424,65.986395,61.451247
"curtains",54.761905,41.609977,57.256236
"custom",66.326531,52.834467,56.689342
"cut",41.269841,56.689342,53.287982
"cute",86.394558,62.698413,55.102041
"cyclone",40.816327,72.108844,55.442177
"dagger",38.321995,69.614512,51.247166
"damage",34.580499,63.151927,43.99093
"dancer",80.952381,68.027211,68.253968
"danger",33.446712,82.993197,40.702948
"dark",53.401361,48.526077,54.875283
"dawn",69.84127,49.773243,58.503401
"daylight",77.097506,54.081633,62.131519
"dazzle",82.653061,71.768707,63.718821
"dead",21.995465,64.965986,32.199546
"death",18.253968,52.040816,39.342404
"debt",25.170068,64.399093,34.240363
"deceit",32.879819,64.399093,44.78458
"decompose",36.281179,52.721088,45.578231
"decorate",78.571429,58.276644,68.594104
"defeated",26.530612,57.709751,35.260771
"defiant",48.29932,69.160998,65.419501
"deformed",27.324263,46.145125,44.78458
"delayed",34.807256,63.718821,41.269841
"delight",93.650794,61.678005,65.646259
"demon",23.922902,76.643991,55.442177
"dentist",45.578231,64.965986,43.0839
"depressed",20.748299,53.514739,31.06576
"depression",20.975057,51.473923,32.993197
"derelict",48.526077,46.485261,54.195011
"deserter",27.777778,62.358277,42.743764
"desire",87.188209,83.333333,73.582766
"despairing",27.55102,64.399093,38.888889
"despise",23.015873,71.201814,53.514739
"destroy",29.931973,77.437642,56.00907
"destruction",35.827664,65.986395,44.557823
"detached",43.764172,48.29932,41.156463
"detail",62.92517,46.485261,59.070295
"detest",24.603175,68.707483,66.099773
"devil",25.056689,68.820862,60.657596
"devoted",84.013605,59.297052,70.068027
"diamond",89.795918,62.698413,62.811791
"dignified",80.498866,46.712018,69.387755
"dinner",81.179138,61.564626,69.160998
"diploma",90.702948,64.285714,76.643991
"dirt",47.278912,42.630385,54.761905
"dirty",34.920635,55.328798,53.287982
"disappoint",27.097506,55.782313,37.301587
"disaster",19.614512,71.768707,39.909297
"discomfort",24.829932,47.278912,43.764172
"discouraged",34.013605,51.360544,40.929705
"disdainful",41.723356,57.142857,51.587302
"disgusted",27.777778,61.451247,49.206349
"disloyal",21.882086,74.376417,42.970522
"displeased",31.632653,63.945578,47.505669
"distressed",21.995465,72.562358,42.630385
"disturb",41.496599,65.759637,51.587302
"diver",73.129252,57.142857,57.142857
"divorce",25.170068,71.768707,36.961451
"doctor",58.956916,66.439909,55.442177
"dog",85.827664,65.306122,70.861678
"doll",69.047619,48.072562,52.267574
"dollar",84.693878,68.820862,71.768707
"door",58.163265,43.0839,53.174603
"dove",78.231293,42.970522,62.131519
"dreadful",25.623583,66.213152,46.485261
"dream",76.303855,51.360544,62.698413
"dreary",34.580499,33.786848,43.197279
"dress",72.675737,45.918367,56.689342
"drown",21.768707,74.489796,32.426304
"dummy",38.321995,49.319728,41.609977
"dump",36.394558,46.712018,43.424036
"dustpan",45.124717,38.888889,61.791383
"earth",81.06576,48.072562,63.605442
"easy",80.498866,50.793651,79.365079
"easygoing",81.632653,48.752834,59.52381
"eat",84.693878,64.512472,63.492063
"ecstasy",90.47619,83.673469,75.736961
"education",75.85034,65.079365,69.727891
"egg",59.977324,42.630385,50.907029
"elated",84.46712,70.408163,62.698413
"elbow",58.049887,43.197279,55.328798
"elegant",84.240363,51.360544,67.460317
"elevator",61.678005,47.165533,48.979592
"embarrassed",34.353741,66.553288,32.539683
"embattled",49.773243,60.770975,54.535147
"employment",73.356009,59.863946,64.965986
"engaged",90.702948,76.75737,73.582766
"engine",58.956916,45.124717,56.689342
"enjoyment",88.435374,58.956916,73.24263
"ennui",57.709751,49.886621,52.947846
"enraged",27.891156,90.362812,71.768707
"erotic",84.240363,82.086168,72.44898
"errand",51.927438,43.650794,54.195011
"event",70.408163,57.823129,62.585034
"evil",36.621315,72.44898,59.52381
"excellence",95.011338,62.811791,82.539683
"excitement",85.034014,86.961451,70.068027
"excuse",45.918367,50.793651,46.145125
"execution",26.870748,64.739229,46.598639
"exercise",80.839002,77.55102,64.399093
"fabric",60.090703,46.938776,57.029478
"face",72.44898,57.142857,64.285714
"failure",19.274376,56.122449,27.210884
"fall",46.371882,53.287982,45.351474
"false",37.07483,38.888889,46.485261
"fame",89.909297,74.263039,77.664399
"family",86.734694,54.421769,68.027211
"famous",79.138322,64.965986,71.655329
"fantasy",84.013605,58.276644,72.902494
"farm",62.698413,44.217687,63.378685
"fascinate",83.219955,66.099773,69.727891
"fat",25.85034,54.535147,50.680272
"father",80.272109,67.120181,63.8322
"fatigued",37.188209,29.931973,42.857143
"fault",38.888889,46.145125,45.578231
"favor",73.24263,51.473923,64.285714
"fear",31.292517,78.911565,36.507937
"fearful",25.510204,71.768707,41.269841
"feeble",36.961451,46.485261,30.725624
"festive",82.76644,74.603175,65.419501
"fever",31.292517,48.639456,39.909297
"field",70.294785,46.258503,66.213152
"fight",42.630385,81.06576,59.750567
"filth",28.004535,58.049887,43.197279
"finger",59.977324,42.857143,57.256236
"fire",36.507937,81.292517,50.907029
"fireworks",85.600907,75.623583,62.471655
"fish",68.480726,45.351474,68.253968
"flabby",30.15873,54.648526,37.528345
"flag",68.253968,52.154195,62.358277
"flirt",85.260771,78.344671,70.748299
"flood",36.1678,68.027211,36.734694
"flower",75.283447,45.351474,56.462585
"foam",68.820862,59.637188,59.410431
"food",86.734694,67.120181,70.068027
"foot",56.9161,37.07483,56.462585
"fork",59.977324,44.897959,65.079365
"foul",31.85941,55.895692,51.133787
"fragrance",68.820862,54.30839,58.276644
"fraud",30.272109,65.192744,40.589569
"free",93.650794,58.390023,71.995465
"freedom",85.941043,62.585034,76.643991
"friend",87.755102,65.079365,76.417234
"friendly",95.578231,57.936508,67.120181
"frigid",39.68254,53.854875,48.412698
"frog",64.739229,51.473923,60.544218
"frustrated",28.117914,63.605442,39.68254
"fun",94.897959,81.85941,77.097506
"funeral",15.759637,56.00907,33.673469
"fungus",34.693878,53.061224,46.031746
"fur",51.133787,47.39229,48.979592
"game",79.138322,66.780045,64.62585
"gangrene",25.85034,64.62585,38.095238
"garbage",33.786848,57.142857,48.072562
"garden",76.077098,49.773243,68.253968
"garment",68.820862,50.907029,60.090703
"garter",70.521542,62.018141,65.986395
"gender",64.965986,49.659864,63.492063
"gentle",82.879819,36.394558,57.823129
"germs",32.426304,50.907029,42.970522
"gift",88.095238,69.614512,62.585034
"girl",77.891156,48.639456,65.759637
"glacier",62.358277,48.072562,55.782313
"glamour",76.643991,53.061224,65.306122
"glass",53.854875,48.412698,56.689342
"gloom",21.315193,43.424036,40.249433
"glory",85.600907,68.253968,77.664399
"god",92.403628,67.460317,66.666667
"gold",85.487528,65.306122,66.326531
"golfer",63.605442,42.290249,62.92517
"good",84.693878,61.564626,72.675737
"gossip",39.455782,65.079365,40.47619
"graduate",92.857143,82.199546,78.684807
"grass",69.387755,46.938776,61.678005
"grateful",83.560091,51.927438,70.068027
"greed",39.795918,53.401361,55.328798
"green",70.068027,48.526077,54.648526
"greet",79.365079,59.750567,67.460317
"grenade",40.816327,64.62585,48.639456
"grief",19.160998,54.195011,39.68254
"grime",38.208617,45.124717,50.680272
"grin",83.900227,59.750567,68.027211
"gripe",35.600907,56.689342,52.947846
"guillotine",28.117914,74.376417,52.60771
"guilty",29.818594,68.480726,35.034014
"gun",39.342404,79.591837,40.022676
"gymnast",71.995465,56.9161,60.204082
"habit",46.598639,44.78458,48.752834
"hairdryer",54.875283,42.063492,63.151927
"hairpin",59.637188,37.07483,57.256236
"hamburger",71.088435,51.587302,60.31746
"hammer",55.328798,51.927438,53.854875
"hand",67.460317,49.886621,60.657596
"handicap",37.301587,43.197279,45.351474
"handsome",89.909297,67.460317,58.843537
"haphazard",45.578231,46.145125,48.639456
"happy",93.0839,73.582766,75.170068
"hard",59.183673,58.049887,63.378685
"hardship",27.777778,53.968254,47.845805
"hat",61.904762,46.485261,61.111111
"hate",24.036281,78.798186,57.256236
"hatred",22.44898,75.510204,48.752834
"hawk",66.666667,49.773243,62.358277
"hay",59.410431,44.78458,60.884354
"headache",22.902494,57.482993,40.816327
"headlight",59.410431,43.197279,55.328798
"heal",80.385488,54.081633,65.646259
"health",77.210884,58.163265,66.099773
"heart",83.786848,71.882086,62.244898
"heaven",82.76644,63.605442,69.727891
"hell",25.396825,60.997732,36.734694
"helpless",24.943311,60.544218,25.736961
"heroin",49.433107,57.936508,54.421769
"hide",48.979592,59.863946,38.548753
"highway",67.120181,58.503401,64.172336
"hinder",43.197279,46.712018,47.732426
"history",59.410431,44.557823,54.761905
"hit",49.092971,64.965986,55.328798
"holiday",85.600907,74.716553,71.428571
"home",89.68254,47.732426,66.893424
"honest",87.301587,60.31746,70.748299
"honey",76.303855,51.133787,61.678005
"honor",86.848073,66.893424,75.963719
"hooker",37.868481,55.895692,53.628118
"hope",79.931973,61.678005,62.585034
"hopeful",80.498866,65.53288,61.337868
"horror",31.292517,81.746032,52.494331
"horse",66.780045,44.104308,52.947846
"hospital",57.142857,67.800454,53.174603
"hostage",24.943311,76.643991,32.086168
"hostile",30.952381,73.015873,54.988662
"hotel",68.027211,54.421769,58.049887
"house",82.312925,51.70068,68.93424
"hug",90.702948,60.657596,65.646259
"humane",78.117914,51.020408,64.62585
"humble",66.439909,42.403628,53.968254
"humiliate",25.396825,69.614512,29.478458
"humor",97.052154,62.358277,68.93424
"hungry",40.589569,58.163265,53.061224
"hurricane",37.868481,77.437642,34.807256
"hurt",21.54195,66.326531,37.755102
"hydrant",56.9161,42.063492,62.698413
"icebox",56.122449,47.278912,57.256236
"idea",79.365079,66.439909,70.975057
"identity",74.489796,56.122449,72.562358
"idiot",35.827664,47.732426,36.054422
"idol",69.387755,56.122449,60.884354
"ignorance",34.807256,49.773243,50
"illness",28.117914,53.401361,36.394558
"imagine",82.993197,67.800454,80.15873
"immature",38.435374,47.052154,54.988662
"immoral",39.68254,56.462585,52.834467
"impair",36.054422,45.804989,46.371882
"impotent",31.85941,51.814059,38.888889
"impressed",83.106576,61.451247,62.471655
"improve",86.734694,64.512472,68.93424
"incentive",79.365079,64.512472,67.23356
"indifferent",52.267574,36.054422,54.875283
"industry",60.090703,50.680272,55.668934
"infant",78.798186,57.256236,64.285714
"infatuation",76.303855,79.591837,55.555556
"infection",18.820862,57.029478,40.929705
"inferior",34.807256,43.424036,31.519274
"inhabitant",57.256236,44.78458,60.884354
"injury",28.231293,64.512472,40.47619
"ink",57.256236,43.537415,52.267574
"innocent",73.809524,47.732426,59.863946
"insane",32.312925,66.099773,46.712018
"insect",46.145125,46.145125,51.70068
"insecure",26.75737,63.038549,26.417234
"insolent",49.319728,60.997732,51.020408
"inspire",79.024943,56.689342,71.882086
"inspired",81.06576,68.253968,75.623583
"insult",25.963719,68.027211,41.043084
"intellect",77.324263,53.854875,71.428571
"intercourse",83.446712,79.365079,72.562358
"interest",79.024943,64.172336,66.666667
"intimate",86.281179,79.138322,66.439909
"intruder",31.405896,77.777778,45.351474
"invader",34.580499,62.358277,45.351474
"invest",67.23356,58.049887,66.666667
"iron",55.555556,42.630385,57.823129
"irritate",35.260771,65.306122,57.029478
"item",59.637188,36.734694,59.637188
"jail",22.108844,62.244898,43.197279
"jealousy",28.45805,72.108844,43.0839
"jelly",64.172336,41.950113,51.360544
"jewel",79.365079,60.997732,63.378685
"joke",91.836735,76.417234,69.727891
"jolly",84.013605,63.151927,72.44898
"journal",58.276644,45.918367,59.637188
"joy",97.505669,81.85941,71.201814
"joyful",93.197279,67.800454,74.829932
"jug",59.410431,43.99093,57.256236
"justice",88.208617,62.018141,73.356009
"kerchief",57.936508,38.888889,59.52381
"kerosene",54.421769,49.206349,52.494331
"ketchup",63.492063,46.371882,59.977324
"kettle",59.183673,36.507937,56.689342
"key",64.399093,41.950113,56.462585
"kick",48.866213,55.555556,62.358277
"kids",78.344671,59.750567,57.482993
"killer",21.428571,89.115646,51.473923
"kind",86.054422,50.566893,67.460317
"kindness",88.662132,48.752834,64.285714
"king",82.312925,62.471655,83.673469
"kiss",93.650794,82.993197,78.571429
"kitten",77.777778,57.596372,77.777778
"knife",41.043084,65.759637,46.712018
"knot",52.60771,46.145125,52.947846
"knowledge",85.941043,67.120181,76.870748
"lake",77.324263,44.78458,55.555556
"lamb",66.780045,38.095238,55.668934
"lamp",61.337868,43.0839,59.750567
"lantern",63.151927,45.918367,57.482993
"laughter",95.804989,76.530612,73.129252
"lavish",70.408163,55.895692,63.945578
"lawn",59.410431,45.351474,60.884354
"lawsuit",38.208617,55.895692,44.444444
"lazy",49.659864,30.045351,46.145125
"leader",86.507937,71.088435,89.342404
"learn",81.06576,61.111111,71.882086
"legend",72.44898,55.328798,62.811791
"leisurely",78.004535,43.0839,58.390023
"leprosy",23.696145,71.315193,45.351474
"lesbian",52.947846,58.049887,60.657596
"letter",74.943311,55.555556,64.965986
"liberty",90.47619,63.492063,71.315193
"lice",26.190476,56.689342,44.78458
"lie",31.632653,67.573696,37.414966
"life",82.426304,68.253968,64.852608
"lightbulb",63.605442,46.485261,65.986395
"lighthouse",66.780045,50,59.52381
"lightning",51.814059,74.943311,41.609977
"limber",64.399093,51.814059,60.544218
"lion",63.151927,70.294785,46.712018
"listless",46.712018,46.485261,46.938776
"lively",81.632653,62.698413,69.047619
"locker",58.843537,38.321995,60.770975
"loneliness",18.253968,51.70068,28.45805
"lonely",24.603175,51.133787,33.446712
"loser",25.510204,56.122449,34.240363
"lost",31.972789,65.986395,32.426304
"lottery",74.489796,60.770975,54.535147
"louse",31.85941,56.462585,40.47619
"love",98.866213,73.015873,80.612245
"loved",97.959184,72.335601,75.056689
"loyal",85.600907,58.503401,78.344671
"lucky",92.630385,74.036281,68.594104
"lump",47.165533,54.421769,48.979592
"luscious",85.034014,60.544218,64.399093
"lust",80.725624,78.004535,62.244898
"luxury",89.342404,53.854875,72.562358
"machine",57.709751,43.310658,59.297052
"mad",27.664399,76.643991,66.439909
"madman",44.331066,63.038549,54.30839
"maggot",23.356009,59.863946,45.69161
"magical",84.580499,67.460317,64.965986
"mail",78.004535,63.8322,64.285714
"malaria",27.210884,49.886621,36.507937
"malice",30.498866,66.439909,53.741497
"man",76.303855,59.410431,62.698413
"mangle",44.217687,61.678005,52.267574
"maniac",42.630385,61.111111,47.845805
"manner",63.945578,51.70068,57.256236
"mantel",55.895692,37.07483,56.122449
"manure",35.147392,47.278912,52.947846
"market",64.172336,46.712018,59.750567
"massacre",25.85034,60.430839,39.68254
"masterful",80.385488,58.956916,81.405896
"masturbate",61.791383,64.285714,63.8322
"material",59.637188,45.918367,58.049887
"measles",31.06576,57.369615,46.825397
"medicine",64.285714,49.886621,53.287982
"meek",43.877551,43.0839,41.609977
"melody",80.15873,56.462585,61.904762
"memories",84.807256,69.160998,66.666667
"memory",75.056689,61.451247,57.936508
"menace",32.653061,62.585034,56.462585
"merry",89.569161,66.893424,75.283447
"messy",35.714286,37.868481,53.854875
"metal",56.122449,42.970522,60.997732
"method",63.038549,43.650794,64.285714
"mighty",74.14966,63.605442,81.972789
"mildew",35.941043,46.258503,49.886621
"milk",67.460317,41.723356,66.099773
"millionaire",91.043084,69.614512,79.024943
"mind",75.736961,56.689342,72.222222
"miracle",97.505669,86.734694,60.657596
"mischief",63.151927,65.306122,63.038549
"misery",21.882086,58.61678,28.911565
"mistake",32.426304,58.730159,43.764172
"mobility",77.437642,56.689342,72.902494
"modest",65.306122,45.124717,56.235828
"mold",40.249433,46.145125,49.092971
"moment",65.306122,43.424036,54.535147
"money",86.054422,64.62585,70.861678
"month",58.390023,45.69161,54.988662
"moody",36.281179,47.39229,49.773243
"moral",70.294785,50.907029,66.893424
"morbid",32.539683,57.369615,49.206349
"morgue",21.768707,54.875283,40.929705
"mosquito",31.746032,54.195011,51.133787
"mother",95.124717,69.501134,65.079365
"mountain",74.716553,62.244898,61.904762
"movie",77.777778,55.895692,56.689342
"mucus",37.868481,38.662132,54.421769
"muddy",50.340136,46.825397,53.628118
"muffin",74.489796,53.968254,62.471655
"murderer",17.346939,84.693878,42.743764
"muscular",77.324263,62.018141,74.603175
"museum",62.811791,40.816327,60.31746
"mushroom",65.53288,53.514739,62.585034
"music",92.176871,60.31746,72.44898
"mutation",44.331066,54.875283,46.145125
"mutilate",20.634921,72.675737,38.662132
"mystic",68.027211,54.875283,62.585034
"naked",71.882086,65.759637,68.027211
"name",62.92517,48.185941,58.503401
"narcotic",48.639456,55.895692,50.340136
"nasty",40.589569,55.442177,56.689342
"natural",74.716553,46.371882,63.151927
"nature",86.734694,49.546485,56.122449
"nectar",78.231293,44.104308,51.473923
"needle",43.310658,60.770975,44.78458
"neglect",29.818594,54.761905,43.650794
"nervous",37.301587,74.716553,40.362812
"neurotic",50.453515,58.163265,50
"news",60.090703,58.61678,52.154195
"nice",74.263039,49.659864,63.265306
"nightmare",21.655329,86.054422,41.723356
"nipple",71.088435,63.038549,63.151927
"noisy",56.9161,72.335601,55.895692
"nonchalant",53.741497,35.37415,48.866213
"nonsense",52.267574,47.278912,55.555556
"noose",42.630385,49.773243,47.278912
"nourish",73.24263,48.639456,65.759637
"nude",77.324263,72.675737,67.573696
"nuisance",37.07483,50.907029,49.433107
"nun",55.895692,33.219955,55.895692
"nurse",68.93424,54.875283,54.875283
"nursery",64.965986,45.804989,58.730159
"obesity",30.952381,43.877551,42.403628
"obey",51.247166,47.959184,48.29932
"obnoxious",39.68254,53.741497,61.111111
"obscene",47.959184,57.142857,50.793651
"obsession",51.247166,72.675737,54.081633
"ocean",80.725624,56.122449,62.698413
"odd",54.648526,48.412698,54.081633
"offend",31.292517,63.038549,42.290249
"office",59.410431,46.258503,63.378685
"opinion",71.201814,55.442177,62.698413
"optimism",78.798186,60.544218,74.943311
"option",73.582766,53.741497,71.882086
"orchestra",68.253968,39.909297,58.61678
"orgasm",94.331066,91.836735,77.437642
"outdoors",84.693878,67.120181,71.088435
"outrage",39.909297,77.437642,59.637188
"outstanding",87.868481,70.748299,72.562358
"overcast",41.38322,39.229025,47.619048
"overwhelmed",47.505669,79.365079,44.104308
"owl",65.759637,45.124717,65.986395
"pain",24.14966,73.696145,42.063492
"paint",63.718821,46.485261,65.192744
"palace",81.519274,57.823129,64.512472
"pamphlet",54.30839,41.043084,52.494331
"pancakes",68.93424,46.031746,65.306122
"panic",35.37415,79.591837,36.281179
"paper",58.956916,28.344671,50.680272
"paradise",98.866213,58.049887,68.367347
"paralysis",22.44898,53.628118,29.024943
"part",57.936508,43.310658,53.854875
"party",89.115646,75.85034,66.099773
"passage",59.863946,49.433107,56.9161
"passion",91.043084,82.312925,69.501134
"pasta",75.85034,56.00907,65.759637
"patent",59.977324,39.68254,55.555556
"patient",59.977324,47.732426,55.555556
"patriot",76.077098,58.61678,66.893424
"peace",87.528345,33.446712,61.791383
"penalty",32.086168,57.823129,44.78458
"pencil",59.183673,35.600907,54.195011
"penis",66.893424,62.811791,67.120181
"penthouse",77.210884,62.585034,73.922902
"people",83.106576,67.346939,69.614512
"perfection",82.199546,67.460317,76.077098
"perfume",76.643991,57.256236,67.23356
"person",71.655329,47.505669,60.657596
"pervert",31.632653,70.975057,53.514739
"pest",35.487528,63.718821,59.977324
"pet",76.984127,57.823129,66.326531
"phase",58.61678,45.124717,52.721088
"pie",72.675737,47.619048,60.657596
"pig",57.482993,47.619048,60.544218
"pillow",89.795918,33.673469,51.70068
"pinch",43.424036,52.040816,53.968254
"pistol",47.619048,69.727891,57.256236
"pity",38.208617,42.176871,46.712018
"pizza",75.396825,59.410431,64.512472
"plain",49.773243,39.909297,53.401361
"plane",72.902494,69.614512,54.195011
"plant",67.800454,41.043084,53.401361
"pleasure",93.877551,65.079365,69.727891
"poetry",66.439909,45.351474,60.204082
"poison",22.44898,68.594104,35.147392
