word,valence
brilliant,0.939
pleasure,0.939
great trust,0.939
holidays,0.939
talented,0.939
harmonize,0.939
gold,0.939
goodfeeling,0.939
peace,0.939
pleasant,0.939
satisfaction,0.939
pleased,0.939
memorable,0.939
goodwill,0.938
attractiveness,0.938
sensational,0.938
delighted,0.938
cheer,0.938
harmonious,0.938
kindness,0.938
honesty,0.938
charisma,0.938
almighty,0.938
inspiration,0.938
inviting,0.938
glad,0.938
creativity,0.938
spiritual,0.938
charmed,0.938
earnings,0.938
liberty,0.938
good,0.938
newyear,0.938
happyplace,0.938
honored,0.938
opportunity,0.938
youth,0.938
charismatic,0.938
brightness,0.938
healthy,0.938
victory,0.938
concert,0.938
goodhealth,0.938
enthusiasm,0.938
courteous,0.937
refreshing,0.936
breathtaking,0.936
romantic,0.936
health,0.935
prosper,0.935
calmness,0.934
bestfriends,0.934
melodious,0.932
luxury,0.932
mother,0.931
travel,0.931
thrilling,0.93
befriend,0.93
candy,0.93
enjoyment,0.93
healthful,0.93
nice,0.93
profit,0.93
wisdom,0.93
congrats,0.93
comfy,0.93
friends,0.929
happyvalentinesday,0.929
accomplish,0.929
admirable,0.929
advancing,0.929
improves,0.929
amusement,0.929
virtuoso,0.929
blessings,0.929
blessing,0.929
wonderment,0.929
happyday,0.929
bless,0.929
wealthy,0.927
congratulate,0.927
interesting,0.927
thanksgiving,0.927
diamonds,0.927
fiesta,0.927
loved,0.927
comfortable,0.927
celebrating,0.927
creation,0.927
happyholidays,0.927
motherly,0.927
treasure,0.927
win,0.927
gentleness,0.927
splendor,0.927
inspirational,0.927
polite,0.927
loveee,0.927
courtesy,0.927
welcomed,0.927
mom,0.927
honest,0.927
respect,0.927
carnival,0.927
hope,0.927
delicious,0.927
fortunate,0.927
angelic,0.927
heartily,0.927
relax,0.927
fortune,0.926
tearsofjoy,0.926
masterpiece,0.926
succeed,0.926
kudos,0.925
cheerleader,0.923
vitality,0.923
greatful,0.923
miracles,0.922
goodmorning,0.922
somewhat positive,0.92
gorgeous,0.92
savior,0.92
charity,0.92
honey,0.92
cute,0.92
truthfulness,0.92
improved,0.919
recover,0.918
funny,0.918
brighter,0.918
greatnight,0.918
entertain,0.918
inspire,0.918
prestige,0.918
life,0.918
glamorous,0.918
teamwork,0.918
gracious,0.918
fun,0.918
delightful,0.918
thanks,0.918
elegance,0.918
comedy,0.918
gentlemanly,0.918
luminous,0.918
adornment,0.918
divine,0.918
courageous,0.918
amazingly,0.918
newborn,0.918
glow,0.918
kind,0.918
sincere,0.918
tasteful,0.918
pleasing,0.917
lovely,0.917
luckiest,0.917
appreciation,0.917
miracle,0.917
exhilarating,0.917
brethren,0.917
charming,0.917
genteel,0.917
growth,0.917
new,0.917
thanking,0.917
gem,0.917
accomplishment,0.917
classy,0.917
approving,0.917
intelligent,0.917
goodlife,0.917
enchanted,0.917
admired,0.917
precious,0.917
advantage,0.917
reliability,0.917
celebrate,0.917
freshness,0.917
gain,0.917
prosperity,0.917
hopes,0.917
friendly,0.917
adventure,0.917
sporting,0.917
awesomeness,0.917
credible,0.917
zest,0.917
emotive,0.917
comic,0.917
enchanting,0.917
gently,0.917
creative,0.917
millionaire,0.917
cuddling,0.917
tranquil,0.917
allegiance,0.917
jubilee,0.916
famous,0.916
sister,0.916
remembered,0.916
liberating,0.915
phenomenal,0.915
shopping,0.915
grow,0.914
strengthening,0.913
felicity,0.913
child,0.912
strong,0.912
reliable,0.912
recommendation,0.912
improving,0.911
gourmet,0.911
commendation,0.911
chum,0.911
blessed,0.91
diamond,0.91
adorn,0.91
refreshed,0.91
appreciated,0.91
sweets,0.91
assure,0.91
superhero,0.91
goodtimes,0.91
journey,0.91
cozy,0.91
autobiographical,0.909
womanly,0.909
recreation,0.909
produce,0.908
puppy,0.908
lifesaver,0.908
pajama,0.908
hug,0.908
comprehension,0.908
respected,0.908
starlight,0.908
oxygen,0.908
decorative,0.908
excited,0.908
gallant,0.908
fresh,0.908
greatfriends,0.908
thanksalot,0.908
musical,0.908
overjoyed,0.908
sweeten,0.908
sincerity,0.908
affirmatively,0.908
enjoying,0.908
worthwhile,0.908
daughter,0.908
socialize,0.907
rest,0.907
prized,0.906
promotion,0.906
cuddled,0.906
attraction,0.906
excitability,0.906
grace,0.906
company,0.906
intellectual,0.906
togetherness,0.906
friend,0.906
caviar,0.906
laughing,0.906
angel,0.906
sunlight,0.906
noble,0.906
proud,0.906
gleeful,0.906
comforting,0.906
acquainted,0.906
engagement,0.906
humorous,0.906
smart,0.906
gallantry,0.906
agree,0.906
xmas,0.906
sweetness,0.906
versatile,0.906
benefit,0.906
graceful,0.906
motivational,0.906
attractive,0.906
resourceful,0.906
praising,0.906
smile,0.906
commend,0.906
agreeable,0.906
amazing,0.906
familiar,0.906
flowering,0.906
illuminate,0.905
pearl,0.905
welcoming,0.905
resplendent,0.905
heartfelt,0.904
parentage,0.903
generation,0.903
reminisce,0.903
perk,0.903
dearest,0.902
reasonable,0.902
entertained,0.902
gifted,0.902
peacefully,0.901
caramel,0.901
traveling,0.9
serenity,0.9
fellowship,0.9
inheritance,0.9
grandiose,0.9
thankyougod,0.9
valuable,0.899
influential,0.899
beautify,0.898
thrilled,0.898
cooperate,0.898
grand,0.898
graduate,0.898
betterment,0.898
bravery,0.898
newlife,0.898
affection,0.898
outstanding,0.898
fantasia,0.898
innovate,0.898
accord,0.898
equality,0.898
welcome,0.898
safe,0.898
originality,0.898
amaze,0.896
fulfilled,0.896
gladness,0.896
loyal,0.896
personality,0.896
richness,0.896
honor,0.896
fruit,0.896
education,0.896
moderate positive,0.896
quality,0.896
view,0.896
recreational,0.896
desire,0.896
splendid,0.896
pleasures,0.896
popularity,0.896
victoria,0.896
gaming,0.896
heaven,0.896
free,0.896
encourage,0.896
birth,0.896
clever,0.896
marry,0.896
whiz,0.896
achievement,0.896
paycheck,0.896
independence,0.896
achieved,0.896
sugar,0.896
fame,0.896
virtue,0.896
relieved,0.896
TRUE,0.896
lunchtime,0.896
cherish,0.896
enrich,0.896
reconciliation,0.896
artwork,0.896
divinity,0.896
lovemylife,0.896
excitement,0.896
great aunt,0.896
perky,0.896
belief,0.896
captivating,0.895
dance,0.894
makesmehappy,0.894
planning,0.894
nursery,0.894
venture,0.893
compatible,0.892
beaming,0.892
restored,0.892
exquisite,0.892
fraternity,0.892
optimum,0.892
smiles,0.892
playful,0.892
butterfly,0.892
soulmate,0.89
satisfying,0.89
virtuous,0.89
humor,0.89
bright,0.89
magnification,0.89
exhilarated,0.89
noticeable,0.89
champion,0.89
sportsmanship,0.89
handsome,0.89
heroic,0.89
teddy bear,0.89
future,0.888
food,0.888
proposal,0.888
animation,0.888
prince,0.888
wholesome,0.888
surprising,0.888
playground,0.888
trust,0.888
besties,0.888
fertile,0.888
radiant,0.888
merrychristmas,0.888
valentine,0.888
faithful,0.888
entertainer,0.888
stunning,0.888
thrill,0.888
volunteer,0.888
perseverance,0.888
mirth,0.888
biscuit,0.888
goods,0.888
doting,0.888
seaside,0.887
wife,0.886
skilled,0.886
giggling,0.886
cruising,0.886
superstar,0.885
beautification,0.885
fatherhood,0.885
darling,0.885
wishful,0.885
salutary,0.885
expedient,0.885
breakfast,0.885
beach,0.885
fascination,0.885
fertility,0.885
sparkly,0.885
grin,0.885
princess,0.885
honorary,0.885
cuddle,0.885
gratitude,0.885
fond,0.885
shiny,0.885
adoration,0.885
entrepreneur,0.885
cool,0.885
raise,0.885
ecological,0.885
singing,0.885
luscious,0.885
authentic,0.885
shining,0.885
blissful,0.885
easily,0.885
ilovechristmas,0.885
chocolate,0.885
dancing,0.885
sunshine,0.885
nutrition,0.885
enthusiastic,0.885
stylish,0.885
appreciate,0.885
calming,0.885
greet,0.885
humankind,0.885
fondness,0.885
flavor,0.885
independent,0.885
forgiving,0.885
adoring,0.885
prize,0.885
loyalty,0.885
distinctive,0.885
favorite,0.885
collaboration,0.885
grandeur,0.885
victorious,0.884
buddy,0.884
rich,0.882
granted,0.882
charmer,0.882
lover,0.881
perfection,0.881
dear,0.88
fantasy,0.88
anniversary,0.88
innovative,0.88
approvement,0.88
graduation,0.88
gift,0.88
live,0.88
valiant,0.88
spacious,0.88
lunch,0.88
pie,0.88
consolidate,0.88
supermodel,0.88
remarkable,0.88
dependable,0.88
progress,0.88
popular,0.88
revelation,0.879
versatility,0.878
neat,0.878
wise,0.878
palace,0.878
rollicking,0.878
yummy,0.878
relaxant,0.878
cruise ship,0.878
praises,0.878
toy,0.878
priority,0.878
cleverness,0.878
upbeat,0.878
salutation,0.878
sunflower,0.878
assured,0.878
playmate,0.878
warmth,0.878
marvellous,0.878
protecting,0.878
nourish,0.878
famed,0.878
boon,0.878
decoration,0.878
rainbow,0.878
genius,0.878
thankyoujesus,0.878
renovate,0.878
sun,0.877
enhancement,0.877
flying,0.877
holidayseason,0.875
pet,0.875
pretty,0.875
wedding,0.875
calm,0.875
contentment,0.875
tolerance,0.875
freely,0.875
colors,0.875
bonanza,0.875
genuine,0.875
approve,0.875
comprehend,0.875
prodigious,0.875
praiseworthy,0.875
magical,0.875
respectability,0.875
fitness,0.875
politeness,0.875
amicable,0.875
miraculous,0.875
beautiful,0.875
trip,0.875
ability,0.875
sightseeing,0.875
softness,0.875
flowers,0.875
patriotic,0.875
credibility,0.875
surprises,0.875
surprise,0.875
celebrated,0.875
reassurance,0.875
behappy,0.875
maxim,0.875
ecstatic,0.875
popcorn,0.875
nutritive,0.875
supportive,0.875
sunset,0.875
recognized,0.875
council,0.875
cheered,0.875
value,0.875
paradise,0.875
clearness,0.875
rainbows,0.875
serenade,0.875
designer,0.875
optimist,0.875
queen,0.875
christmassy,0.875
presence,0.874
kissy,0.874
together,0.874
enchant,0.873
forward,0.873
appreciable,0.873
revenue,0.873
counselor,0.873
moonlit,0.873
relaxation,0.873
worth,0.872
provided,0.871
lifeguard,0.87
leadership,0.87
festival,0.87
profitable,0.87
pastry,0.87
believing,0.87
chic,0.87
accomplished,0.87
eloquent,0.87
alleviate,0.869
persons,0.869
homemade,0.869
fullness,0.868
manufacture,0.868
workout,0.868
renew,0.868
magic,0.868
favoriteholiday,0.867
invincible,0.867
succeeding,0.867
peaceful,0.867
enthusiast,0.867
snug,0.867
gratification,0.867
thoughtfulness,0.867
advisable,0.867
dedication,0.867
admiring,0.867
cash,0.867
cartoon,0.867
treasures,0.867
christmasspirit,0.867
devoted,0.867
lovethis,0.867
admire,0.867
flexibility,0.867
genial,0.867
satisfy,0.867
relationship,0.867
humble,0.867
bake,0.867
privileged,0.867
higher,0.866
believable,0.866
scholarship,0.866
certify,0.866
gifts,0.865
relaxed,0.865
likable,0.865
grantee,0.865
living,0.865
giveaway,0.865
godsend,0.865
fruits,0.865
celebrant,0.865
fruitcake,0.865
easy,0.865
timely,0.865
creator,0.865
charitable,0.865
teammate,0.865
competent,0.865
knowledgeable,0.865
fatherly,0.865
daylight,0.865
earn,0.865
spirituality,0.865
understanding,0.865
harmonics,0.865
giggles,0.865
applaud,0.865
peacekeeper,0.865
encounter,0.865
encouragement,0.865
brotherly,0.865
saintly,0.865
thriving,0.865
elegant,0.865
gratuity,0.865
powerful,0.865
boost,0.865
bonbon,0.865
chosen,0.865
permitted,0.865
award,0.865
smiley,0.865
adrenalin,0.865
born,0.865
integrity,0.865
moonlight,0.865
sophisticated,0.865
amour,0.865
dreams,0.865
heroics,0.865
sexy,0.865
enterprising,0.865
hospitality,0.865
childhood,0.865
flattered,0.865
beaches,0.865
maternity,0.865
scented,0.865
sport,0.865
homestead,0.865
glorified,0.865
yeahhhh,0.865
goddess,0.865
rose,0.865
trusty,0.863
healer,0.863
comfort,0.863
protection,0.863
decorating,0.863
sanctuary,0.863
babe,0.86
cheesecake,0.86
truelove,0.86
glittering,0.86
mama,0.86
poetic,0.86
constructive,0.86
holiness,0.86
blooming,0.86
cosmos,0.86
vigor,0.86
terrific,0.859
hometown,0.858
sing,0.858
intimacy,0.857
salvation,0.857
bonus,0.857
movingforward,0.857
legendary,0.857
exist,0.857
nature,0.857
clear,0.857
correct,0.857
compassionate,0.857
great grandpa,0.857
dad,0.857
epic,0.857
trusting,0.857
appreciative,0.857
sibling,0.857
intuition,0.857
gratifying,0.857
celebratory,0.857
athletic,0.857
gooood,0.857
children,0.857
relation,0.857
incredible,0.857
vigorous,0.857
happydance,0.857
wealth,0.857
housewarming,0.857
chivalry,0.857
contented,0.857
witty,0.857
famously,0.856
mighty,0.855
modern,0.855
medal,0.854
sensuous,0.854
sire,0.854
powerfully,0.854
naturally,0.854
motivation,0.854
sociable,0.854
proficient,0.854
bountiful,0.854
romanticism,0.854
sponsorship,0.854
natural,0.854
storybook,0.854
adore,0.854
festive,0.854
familiarity,0.854
reassured,0.854
passion,0.854
entirety,0.854
wondrous,0.854
goodie,0.854
godlike,0.854
champ,0.854
speciality,0.854
freshwater,0.854
chef,0.854
selflove,0.854
affirmative,0.854
dreaming,0.854
unbeaten,0.854
gathering,0.854
approval,0.854
union,0.854
protected,0.854
fancy,0.854
contribution,0.854
song,0.854
masterful,0.854
dazzling,0.854
spirited,0.854
ethical,0.854
eternal,0.854
relish,0.854
dignify,0.854
mommy,0.854
fascinate,0.854
agreeing,0.854
gardening,0.854
merciful,0.854
merit,0.854
greeting,0.854
luck,0.854
humored,0.854
relaxing,0.854
home,0.854
huggy,0.854
gaiety,0.854
adequate,0.854
lady,0.854
supported,0.853
fudge,0.853
choral,0.852
upstanding,0.851
praisegod,0.851
formulate,0.851
refined,0.85
respectable,0.85
matrimony,0.85
colorful,0.85
eulogize,0.85
treasured,0.849
exquisitely,0.849
construction,0.848
acceptances,0.847
fragrance,0.847
cook,0.847
accept,0.847
inauguration,0.847
cuddles,0.847
ballroom,0.847
harmonica,0.847
mate,0.847
mansion,0.847
amiable,0.847
entertainment,0.847
maternal,0.847
aromatherapy,0.847
lively,0.847
earnestly,0.847
transparency,0.847
eating,0.847
greatest,0.847
gentle,0.847
skill,0.847
reassuring,0.847
voluntarily,0.847
surf,0.847
melody,0.847
active,0.847
happytweet,0.847
energetic,0.847
restaurant,0.847
carols,0.847
city,0.847
pizza,0.847
communicative,0.847
newday,0.847
knowledge,0.847
aesthetics,0.847
extraordinaire,0.847
cosy,0.847
specially,0.847
productive,0.847
cooperation,0.847
newlywed,0.847
teatime,0.847
purification,0.847
surprisingly,0.847
privilege,0.847
convenient,0.846
aspiring,0.844
rhythmical,0.844
fraternal,0.844
kisser,0.844
intellect,0.844
contributor,0.844
stardom,0.844
highlight,0.844
volunteering,0.844
recompense,0.844
amorous,0.844
comical,0.844
infatuation,0.844
baptism,0.844
reliance,0.844
shimmering,0.844
wit,0.844
orgasm,0.844
sensuality,0.844
weekend,0.844
sunglasses,0.844
naturalist,0.844
souvenir,0.844
marriage,0.844
developer,0.844
advanced,0.844
songwriter,0.844
dreamland,0.844
motherhood,0.844
playroom,0.844
guitar,0.844
released,0.844
heroism,0.844
orderly,0.844
shine,0.844
super,0.844
protective,0.844
admiral,0.844
renowned,0.844
dream,0.844
pancakes,0.844
qualities,0.844
dignity,0.844
astonishing,0.844
relief,0.844
jubilant,0.844
nobility,0.844
mutually,0.844
chuckle,0.844
heavenly,0.844
secure,0.844
available,0.844
artiste,0.844
money,0.844
exemplar,0.844
effective,0.844
accommodate,0.844
special,0.844
forevermore,0.843
stardust,0.843
beauty,0.842
heritage,0.842
christmasbreak,0.842
embellish,0.842
overcoming,0.842
navigation,0.841
consciousness,0.84
heir,0.84
tranquility,0.84
promotional,0.84
bride,0.84
respects,0.84
vacation,0.84
viva,0.84
exotic,0.84
affordable,0.84
orchid,0.84
teach,0.84
decorator,0.84
stabilize,0.839
comprise,0.839
recital,0.838
formalism,0.838
communication,0.837
kids,0.837
spring,0.837
christmastime,0.837
reunion,0.837
sisterhood,0.837
summertime,0.837
breeze,0.837
gratify,0.837
preserve,0.837
gaining,0.837
reassure,0.837
respecting,0.837
chill,0.837
lovelife,0.837
responsible,0.837
springtime,0.837
baby,0.837
advantageous,0.837
confidant,0.837
fruit punch,0.837
cultivated,0.837
security,0.837
rightful,0.837
alluring,0.837
legend,0.837
arrive,0.837
brave,0.837
traveler,0.837
promenade,0.837
openness,0.837
enlightenment,0.837
engaged,0.837
dreamy,0.837
archangel,0.837
unwind,0.837
unity,0.837
beginnings,0.837
luncheon,0.837
cherishing,0.836
presentable,0.836
transmit,0.836
serviceable,0.834
endorsement,0.834
general,0.834
star,0.833
betrothed,0.833
plentiful,0.833
willing,0.833
freelance,0.833
faith,0.833
vocation,0.833
finalist,0.833
assist,0.833
camaraderie,0.833
precise,0.833
strawberry,0.833
willingly,0.833
breathe,0.833
appropriate,0.833
floral,0.833
faithfulness,0.833
companionship,0.833
stressfree,0.833
impeccable,0.833
improve,0.833
acquire,0.833
sea,0.833
leader,0.833
momma,0.833
approved,0.833
capability,0.833
meal,0.833
charm,0.833
poetics,0.833
useful,0.833
homage,0.833
unforgettable,0.833
provide,0.833
nutritious,0.833
caress,0.833
talk,0.833
accompany,0.833
luster,0.833
entertaining,0.833
smoothness,0.833
nimble,0.833
praisejesus,0.833
music,0.833
sufficient,0.833
undefeated,0.833
valor,0.833
sacred,0.833
developing,0.833
settle,0.833
altogether,0.833
flora,0.833
monument,0.833
initiative,0.833
learning,0.833
benefactor,0.833
authenticate,0.833
recognition,0.833
enliven,0.833
payday,0.833
kindergarten,0.833
extreme surprise,0.833
learn,0.833
acceptance,0.833
salute,0.833
poems,0.833
supremely,0.833
intelligence,0.833
gentile,0.833
chance,0.833
indulge,0.833
clothes,0.833
gracias,0.833
found,0.833
knowing,0.833
exemplary,0.833
sports,0.833
professional,0.833
championship,0.833
homeward,0.833
fulfillment,0.833
symbiotic,0.832
royalty,0.832
conservation,0.832
athletics,0.831
stately,0.83
tradition,0.83
courage,0.83
ascend,0.83
promote,0.83
attainment,0.83
outlook,0.83
goal,0.83
forte,0.829
take,0.828
martini,0.828
development,0.827
experience,0.827
hobby,0.827
clean,0.827
heiress,0.827
savor,0.827
maturity,0.827
primrose,0.827
gleaming,0.827
revels,0.827
heart,0.827
significant,0.827
fashion,0.827
grandfather,0.827
amazedness,0.827
jewel,0.827
sharing,0.827
especial,0.827
animate,0.827
dawn,0.827
youthful,0.827
plenty,0.827
mildness,0.827
poet,0.827
guitarist,0.827
goodvibes,0.827
astonishingly,0.827
vitamin,0.827
educator,0.827
impressionable,0.827
some surprise,0.827
rejoice,0.827
important,0.827
sympathy,0.827
fresco,0.827
ascending,0.826
extreme trust,0.826
enlightening,0.825
fortunes,0.824
fortitude,0.823
cordial,0.823
fine,0.823
glamour,0.823
revival,0.823
protect,0.823
discovery,0.823
landscaping,0.823
completed,0.823
sunrise,0.823
animated,0.823
gentleman,0.823
bridal,0.823
decent,0.823
film,0.823
righteous,0.823
majesty,0.823
violin,0.823
brother,0.823
cleanly,0.823
headway,0.823
thankgod,0.823
coffee,0.823
irresistible,0.823
keen,0.823
maximize,0.823
excite,0.823
reproduce,0.823
smooth,0.823
fulfilling,0.823
jovial,0.823
granddaughter,0.823
promise,0.823
communicate,0.823
carat,0.823
dedicate,0.823
cosmopolitan,0.823
purity,0.823
curable,0.823
craftsmanship,0.823
aroma,0.823
ocean,0.823
maestro,0.823
palatable,0.823
consist,0.823
galore,0.823
styling,0.823
easygoing,0.823
juicy,0.823
greatday,0.823
visionary,0.823
jewelry,0.823
fondle,0.823
propriety,0.823
clapping,0.823
encouraging,0.823
stupendous,0.823
creamy,0.823
tourism,0.823
skiing,0.823
mankind,0.823
leading,0.823
efficacious,0.823
yacht,0.823
goodmood,0.823
distinguished,0.823
godbless,0.823
willpower,0.823
hearted,0.823
succulent,0.823
civilization,0.823
cookies,0.823
frosting,0.823
posh,0.823
freeman,0.823
firmness,0.823
lifelong,0.823
legitimacy,0.823
counsellor,0.823
dinner,0.823
ticklish,0.823
purify,0.823
complimentary,0.823
completeness,0.823
cushy,0.823
unique,0.823
advised,0.823
artistry,0.823
postcard,0.822
composer,0.822
interact,0.822
teaching,0.822
invigorate,0.821
glorification,0.821
dine,0.821
smoothly,0.821
beneficial,0.82
sustenance,0.82
dreamer,0.82
totally,0.82
restoring,0.82
significance,0.82
hiking,0.82
congenial,0.82
volunteers,0.82
architecture,0.82
compliment,0.82
yeahhh,0.82
sparkle,0.819
acknowledgement,0.819
corona,0.818
milk,0.817
accommodation,0.817
aurora,0.817
soothe,0.817
celestial,0.817
spontaneity,0.817
collectively,0.817
idealist,0.816
historic,0.816
educated,0.816
spectacles,0.816
fortress,0.816
providing,0.816
cooperative,0.816
precisely,0.816
handshake,0.816
macaroni,0.816
bliss,0.816
plaudit,0.816
lifetime,0.816
manners,0.816
voyage,0.816
alive,0.816
gig,0.816
organized,0.816
perfumed,0.816
kitten,0.816
enchantment,0.816
connected,0.816
impress,0.816
householder,0.816
collaborate,0.816
responsive,0.816
onelove,0.816
cleanliness,0.816
devotee,0.816
personable,0.816
eminence,0.816
renovation,0.816
bloom,0.816
compatibility,0.816
helpful,0.816
plucky,0.816
possibility,0.816
musician,0.816
beginning,0.816
park,0.816
achieve,0.816
t-shirt,0.815
cheering,0.815
sleepover,0.815
adult,0.815
caption,0.814
taught,0.814
desiring,0.814
basketball,0.814
outdoor,0.814
glitter,0.814
visual,0.813
relieve,0.813
favor,0.812
treasury,0.812
usable,0.812
spectacle,0.812
choreography,0.812
seasoned,0.812
lifeisgood,0.812
petting,0.812
facilitate,0.812
pal,0.812
laughs,0.812
stability,0.812
immortal,0.812
motivate,0.812
acceptable,0.812
stalwart,0.812
saint,0.812
abundance,0.812
slender,0.812
lavender,0.812
worthy,0.812
apprenticeship,0.812
summer,0.812
savory,0.812
informative,0.812
myfavorite,0.812
rely,0.812
amuse,0.812
essential,0.812
supple,0.812
pacify,0.812
attentive,0.812
gastronomy,0.812
parent,0.812
philanthropic,0.812
commemorate,0.812
meditate,0.812
attendance,0.812
earnestness,0.812
art,0.812
recommend,0.812
father,0.812
play,0.812
result,0.812
sundown,0.812
water,0.812
comedian,0.812
feed,0.812
fascinated,0.812
adventures,0.812
toddler,0.812
delicacy,0.812
dreamt,0.812
incentive,0.812
elevate,0.812
womanhood,0.812
parenting,0.812
confirmation,0.812
aspire,0.812
christmaseve,0.812
ornate,0.812
remembrance,0.812
idealistic,0.812
supreme,0.812
nutritional,0.812
holy,0.812
constitute,0.812
pony,0.812
heartland,0.812
associate,0.812
prodigy,0.812
sheen,0.812
fair,0.812
apple,0.811
rejoicing,0.811
pure,0.811
support,0.811
petal,0.81
fearless,0.81
organization,0.81
gymnastic,0.81
superhuman,0.81
increase,0.81
poem,0.81
punctuality,0.81
cake,0.81
bridegroom,0.809
rejuvenated,0.809
hamburger,0.809
reformation,0.809
thankyoulord,0.809
dude,0.809
mambo,0.808
jaunt,0.808
today,0.806
contribute,0.806
potential,0.806
reign,0.806
superpower,0.806
exceptional,0.806
leisurely,0.806
smoothie,0.806
boldness,0.806
appetizing,0.806
writer,0.806
commercial,0.806
heavens,0.806
pink,0.806
comply,0.806
couple,0.806
vineyard,0.806
grandpa,0.806
diversity,0.806
grad,0.806
pianist,0.806
freshen,0.806
billionaire,0.806
bestfeeling,0.806
starlet,0.806
rosary,0.806
preferable,0.806
feeling,0.806
usefulness,0.806
debut,0.806
balanced,0.806
attain,0.806
rescue,0.806
ride,0.806
impressed,0.806
colored,0.806
intimately,0.806
social,0.806
logical,0.805
normalcy,0.805
violinist,0.804
allure,0.804
lasting,0.804
excitable,0.803
sex,0.803
perfecto,0.802
book,0.802
organize,0.802
cater,0.802
daybreak,0.802
existing,0.802
deserve,0.802
regard,0.802
poetical,0.802
eyeful,0.802
composure,0.802
efficacy,0.802
nintendo,0.802
victor,0.802
imagination,0.802
artist,0.802
newstart,0.802
persevere,0.802
magnificence,0.802
sync,0.802
infant,0.802
teahouse,0.802
serene,0.802
ideal,0.802
deserving,0.802
righteousness,0.802
admissibility,0.802
devote,0.802
neatly,0.802
taste,0.802
feel,0.802
flower,0.802
empathize,0.802
picturesque,0.802
artistic,0.802
innocence,0.802
ballerina,0.802
strengthen,0.802
cultural,0.802
macarena,0.802
devotion,0.802
computer,0.802
stargazing,0.802
big,0.802
confirm,0.802
efficiency,0.802
cheeseburger,0.802
silky,0.802
espouse,0.802
great grandmother,0.802
enhance,0.802
brunette,0.802
singer,0.802
democratic,0.802
clarification,0.802
golden,0.802
hurrah,0.802
multiplied,0.802
pancake,0.802
mum,0.802
welfare,0.802
creditable,0.802
skier,0.802
raspberries,0.802
reborn,0.802
risotto,0.802
glossy,0.802
heath,0.802
invitation,0.802
newbeginnings,0.802
bakery,0.802
feminine,0.802
multiply,0.802
conveniences,0.802
steakhouse,0.802
pacified,0.802
nightclub,0.802
skillful,0.802
rollercoaster,0.802
coral,0.802
strength,0.802
decorum,0.802
universal,0.802
shrine,0.802
admission,0.802
obediently,0.802
superior,0.801
international,0.8
humane,0.8
dressy,0.8
